,Company,Ticker,Stock Price,Trailing P/E Ratio,Shares Held by Institutions,% Float Held by Institutions,Forward Divident Yield,Forward Dividend,Last Year Dividend,2021 Dividend,2020 Dividend,2019 Dividend
23,Adobe Inc. (ADBE),ADBE,344.54,32.95,85.36%,,,,0.0,0.0,0.0,0.0
24,"Advanced Emissions Solutions, Inc. (ADES)",ADES,2.5300,4.48,36.54%,,,,0.0,0.0,0.25,1.0
25,"Analog Devices, Inc. (ADI)",ADI,168.67,31.53,90.72%,,1.79%,3.04,3.04,2.76,2.48,2.16
26,"ADMA Biologics, Inc. (ADMA)",ADMA,3.5100,,71.97%,,,,0.0,0.0,0.0,0.0
27,Adamis Pharmaceuticals Corporation (ADMP),ADMP,0.2168,,8.64%,,,,0.0,0.0,0.0,0.0
28,"Automatic Data Processing, Inc. (ADP)",ADP,244.26,33.26,83.11%,,2.04%,5,4.37,3.83,3.66,3.2800000000000002
29,Adara Acquisition Corp. (ADRA),ADRA,9.90,85.08,88.81%,,,,0.0,0.0,0.0,0.0
30,"Autodesk, Inc. (ADSK)",ADSK,199.96,66.14,96.03%,,,,0.0,0.0,0.0,0.0
31,"ADTRAN Holdings, Inc. (ADTN)",ADTN,19.85,,90.07%,,1.83%,0.36,0.36,0.36,0.36,0.36
32,Addus HomeCare Corporation (ADUS),ADUS,102.64,36.85,101.58%,,,,0.0,0.0,0.0,0.0
33,"Advaxis, Inc. (ADXS)",ADXS,1.6000,,0.00%,,,,0.0,0.0,0.0,0.0
34,Aehr Test Systems (AEHR),AEHR,27.67,51.84,44.85%,,,,0.0,0.0,0.0,0.0
35,"Advanced Energy Industries, Inc. (AEIS)",AEIS,94.00,17.55,102.54%,,0.43%,0.4,0.4,0.4,0.0,0.0
36,"ADDvantage Technologies Group, Inc. (AEY)",AEY,1.5100,,4.39%,,,,0.0,0.0,0.0,0.0
37,Aeterna Zentaris Inc. (AEZS),AEZS,3.6600,,0.60%,,,,0.0,0.0,0.0,0.0
38,Affimed N.V. (AFMD),AFMD,1.1300,,66.20%,,,,0.0,0.0,0.0,0.0
39,Agenus Inc. (AGEN),AGEN,2.8700,,59.75%,,,,0.0,0.0,0.0,0.0
40,"Agios Pharmaceuticals, Inc. (AGIO)",AGIO,30.34,,105.27%,,,,0.0,0.0,0.0,0.0
41,AGNC Investment Corp. (AGNC),AGNC,11.28,,43.59%,,13.56%,1.44,1.4400000000000004,1.4400000000000004,1.5600000000000005,1.9999999999999996
42,AGNC Investment Corp. (AGNCP),AGNCP,20.36,,,,7.80%,1.53,1.532,1.532,1.149,0.0
43,"Agile Therapeutics, Inc. (AGRX)",AGRX,0.2992,,5.72%,,,,0.0,0.0,0.0,0.0
44,"Agilysys, Inc. (AGYS)",AGYS,80.54,238.62,101.94%,,,,0.0,0.0,0.0,0.0
45,"Allied Healthcare Products, Inc. (AHPI)",AHPI,1.0901,,4.14%,,,,0.0,0.0,0.0,0.0
46,Altra Industrial Motion Corp. (AIMC),AIMC,60.08,230.19,91.02%,,0.60%,0.36,0.35,0.30000000000000004,0.31,0.68
47,"Air T, Inc. (AIRT)",AIRT,27.21,173.43,25.74%,,,,0.0,0.0,0.0,0.0
48,"Akamai Technologies, Inc. (AKAM)",AKAM,88.64,27.52,95.34%,,,,0.0,0.0,0.0,0.0
49,"Akebia Therapeutics, Inc. (AKBA)",AKBA,0.6900,,29.16%,,,,0.0,0.0,0.0,0.0
50,"Alico, Inc. (ALCO)",ALCO,24.87,14.60,48.30%,,0.81%,0.2,1.55,1.68,0.45,0.27
51,"Aldeyra Therapeutics, Inc. (ALDX)",ALDX,6.77,,64.90%,,,,0.0,0.0,0.0,0.0
52,"Align Technology, Inc. (ALGN)",ALGN,235.58,34.12,90.53%,,,,0.0,0.0,0.0,0.0
